gpu_id,N,duty,avg_power_W,avg_power_minus_idle_W,stddev_power_W,num_samples
0,1024,0.1000,87.907600,70.173480,0.650869,15
0,1024,0.2000,103.993133,86.259013,0.846174,15
0,1024,0.3000,117.032667,99.298547,0.669160,15
0,1024,0.4000,159.926333,142.192213,13.061071,15
0,1024,0.5000,190.895533,173.161413,2.309533,15
0,1024,0.6000,205.593133,187.859013,1.322181,15
0,1024,0.7000,215.900667,198.166547,2.114376,15
0,1024,0.8000,227.720133,209.986013,1.541050,15
0,1024,0.9000,231.916333,214.182213,1.072961,15
0,1536,0.1000,135.766867,118.032747,21.081872,15
0,1536,0.2000,122.246733,104.512613,1.073870,15
0,1536,0.3000,161.846933,144.112813,6.999691,15
0,1536,0.4000,218.617667,200.883547,11.040147,15
0,1536,0.5000,242.531133,224.797013,1.833221,15
0,1536,0.6000,260.429200,242.695080,1.959183,15
0,1536,0.7000,268.589267,250.855147,2.613872,15
0,1536,0.8000,262.235933,244.501813,3.681630,15
0,1536,0.9000,247.718733,229.984613,4.135964,15
0,2048,0.1000,127.956867,110.222747,31.628569,15
0,2048,0.2000,147.036267,129.302147,1.424002,15
0,2048,0.3000,171.813600,154.079480,1.452424,15
0,2048,0.4000,206.283867,188.549747,8.645705,15
0,2048,0.5000,227.218067,209.483947,1.927078,15
0,2048,0.6000,237.905133,220.171013,3.274369,15
0,2048,0.7000,249.317333,231.583213,1.588845,15
0,2048,0.8000,261.206200,243.472080,1.871594,15
0,2048,0.9000,252.240733,234.506613,5.243592,15
0,2560,0.1000,140.505133,122.771013,30.985297,15
0,2560,0.2000,127.463400,109.729280,2.817766,15
0,2560,0.3000,143.648133,125.914013,2.488746,15
0,2560,0.4000,210.784933,193.050813,18.075895,15
0,2560,0.5000,237.123400,219.389280,1.780010,15
0,2560,0.6000,253.937200,236.203080,1.522381,15
0,2560,0.7000,255.712733,237.978613,4.537016,15
0,2560,0.8000,258.714133,240.980013,5.459836,15
0,2560,0.9000,256.421267,238.687147,4.483018,15
0,3072,0.1000,117.954067,100.219947,35.697563,15
0,3072,0.2000,139.658400,121.924280,1.353491,15
0,3072,0.3000,167.385533,149.651413,1.501420,15
0,3072,0.4000,212.320200,194.586080,7.693781,15
0,3072,0.5000,236.005200,218.271080,1.682419,15
0,3072,0.6000,245.835733,228.101613,0.943537,15
0,3072,0.7000,262.027000,244.292880,1.837495,15
0,3072,0.8000,258.621333,240.887213,9.705614,15
0,3072,0.9000,254.687533,236.953413,5.249635,15
0,3584,0.1000,126.040400,108.306280,34.177980,15
0,3584,0.2000,120.790667,103.056547,0.775542,15
0,3584,0.3000,138.084933,120.350813,0.932092,15
0,3584,0.4000,202.590600,184.856480,14.736622,15
0,3584,0.5000,233.746133,216.012013,3.530720,15
0,3584,0.6000,251.138667,233.404547,1.515572,15
0,3584,0.7000,263.925067,246.190947,1.671872,15
0,3584,0.8000,268.121533,250.387413,4.176769,15
0,3584,0.9000,252.924867,235.190747,5.995097,15
0,4096,0.1000,134.594333,116.860213,31.033492,15
0,4096,0.2000,124.268533,106.534413,0.279451,15
0,4096,0.3000,155.715933,137.981813,1.627481,15
0,4096,0.4000,213.754267,196.020147,10.659213,15
0,4096,0.5000,217.059000,199.324880,0.285868,15
0,4096,0.6000,242.208467,224.474347,2.041124,15
0,4096,0.7000,261.885467,244.151347,2.143889,15
0,4096,0.8000,267.878933,250.144813,3.254529,15
0,4096,0.9000,268.129067,250.394947,3.971890,15
