gpu_id,duty,avg_power_W,avg_power_minus_idle_W,stddev_power_W,num_samples
0,0.7500,109.130167,29.415942,1.215019,24
0,0.7600,109.312208,29.597984,0.155061,24
0,0.7700,187.200192,107.485968,13.629884,26
0,0.7800,192.048577,112.334352,0.525387,26
0,0.7900,193.159846,113.445622,0.248343,26
0,0.8000,193.875846,114.161622,0.507242,26
0,0.8100,194.916846,115.202622,0.485175,26
0,0.8200,195.628346,115.914122,0.548958,26
0,0.8300,196.461654,116.747429,0.404951,26
0,0.8400,197.208115,117.493891,0.252659,26
0,0.8500,197.635923,117.921699,0.309362,26
0,0.8600,198.432885,118.718660,0.387982,26
0,0.8700,197.651885,117.937660,2.545513,26
0,0.8800,199.064192,119.349968,0.435723,26
0,0.8900,199.290654,119.576429,0.454064,26
0,0.9000,199.778154,120.063929,0.348544,26
0,0.9100,200.199115,120.484891,0.505814,26
0,0.9200,200.738731,121.024506,0.308686,26
0,0.9300,200.746731,121.032506,0.377592,26
0,0.9400,193.751077,114.036852,0.798460,26
0,0.9500,192.301538,112.587314,0.789717,26
